id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,distance_osrm,pickup_dist_NYC_center,dropoff_dist_NYC_center,speed_osrm,trip_duration,is_outlier
id1859156,1,2016-02-17 00:54:13,2016-02-17 01:36:27,3,-73.96925354003906,40.75404739379882,-73.5935821533203,41.04386520385742,N,46.7853,5.53318298532434,50.59754487654382,66.46688239936859,2534,True
id1092161,1,2016-04-15 22:35:08,2016-04-16 00:34:21,1,-73.78179168701173,40.644718170166016,-72.71139526367188,41.311519622802734,N,139.09879999999998,20.407204103217516,127.59305787441774,70.00638613169299,7153,True
id3770021,1,2016-02-17 18:59:56,2016-02-17 19:40:11,1,-73.86203765869139,40.76464080810546,-73.54215240478516,41.0522575378418,Y,63.1614,13.453886477459015,54.30927237099129,94.1536397515528,2415,True
id2185383,1,2016-01-24 13:10:30,2016-01-24 13:11:12,1,-73.51805114746092,41.09117126464844,-73.51805877685547,41.091167449951165,N,0.0,58.78740156069184,58.78665000098979,0.0,42,True
id0098463,1,2016-03-30 19:32:16,2016-03-30 20:25:26,2,-74.12672424316406,41.31916427612305,-73.93511962890625,40.82966613769531,N,81.38889999999999,68.10064306702135,14.291116077910871,91.84954231974922,3190,True
id1607279,1,2016-01-16 07:52:46,2016-01-16 07:57:07,1,-73.33402252197266,40.71603012084961,-73.33402252197266,40.71603012084961,N,0.0,56.78126787423068,56.78126787423068,0.0,261,True
id3300285,1,2016-06-22 13:50:12,2016-06-22 14:44:53,1,-73.78706359863281,40.64167022705078,-73.19326782226561,40.80948638916016,N,67.67439999999999,20.12471245147004,69.46021695892102,74.25414202986893,3281,True
id2888107,2,2016-01-05 11:25:56,2016-01-05 11:58:27,1,-73.8303985595703,40.80321502685546,-73.54256439208984,41.0461311340332,N,56.0789,17.907714381052294,53.8153446200894,103.4772116863147,1951,True
id0147490,1,2016-03-16 10:07:11,2016-03-16 11:27:14,1,-73.98604583740233,40.7612533569336,-73.4283676147461,40.86968612670898,N,57.7816,5.638503831344194,51.77159532049975,43.3091317926296,4803,True
id2000225,2,2016-01-15 20:25:02,2016-01-15 21:10:39,1,-73.8631820678711,40.76941680908203,-73.84963989257811,41.1811408996582,N,58.0815,13.603050013200876,53.65111068177662,76.39510412860795,2737,True
id2331972,2,2016-02-09 12:14:45,2016-02-09 12:14:49,1,-73.41297912597656,40.734161376953125,-73.41297912597656,40.734161376953125,N,0.0,50.15788637809153,50.15788637809153,0.0,4,True
id2791549,1,2016-03-21 14:52:01,2016-03-21 14:53:45,1,-73.53921508789062,41.05020904541016,-73.53922271728516,41.050174713134766,N,0.0,54.331053486457854,54.32796577014423,0.0,104,True
id0479538,1,2016-01-02 20:50:36,2016-01-02 22:18:34,1,-73.7898712158203,40.64340972900391,-73.6842498779297,41.334739685058594,N,92.9706,19.83053726248327,74.1808909900118,63.41306555513452,5278,True
id1311087,1,2016-02-29 12:16:29,2016-02-29 18:47:09,3,-75.45591735839844,39.803932189941406,-73.7960205078125,40.70772552490234,N,63.7632,159.3669797637507,17.752741090779164,9.792982935153583,23440,True
id3177399,2,2016-01-07 18:26:46,2016-01-07 19:24:55,1,-73.8670196533203,40.77081298828125,-73.45597076416014,40.881290435791016,N,49.7891,13.390248618118136,50.04756384102078,51.37310404127257,3489,True
id1493150,2,2016-02-28 22:13:20,2016-02-28 23:31:55,2,-73.99072265625,40.74985122680664,-73.25847625732422,41.143020629882805,N,98.144,4.312145903036472,79.03618358023385,74.93497348886532,4715,True
id1162751,1,2016-03-02 21:56:51,2016-03-02 21:59:18,1,-74.07528686523438,40.22580337524414,-74.0751724243164,40.22579956054688,N,0.0,54.396181600622086,54.39555521857867,0.0,147,True
id1889528,1,2016-03-18 15:53:58,2016-03-18 16:05:12,1,-74.1951446533203,43.48688507080078,-74.1951446533203,43.48688507080078,N,0.0,308.52890058076207,308.52890058076207,0.0,674,True
id2306955,1,2016-05-07 18:58:53,2016-05-07 19:12:05,1,-72.80966949462889,51.88108444213867,-73.98722839355469,40.7505989074707,N,559.3501,1244.8035252940506,4.487064511384383,2542.5004545454544,792,True
id1367238,1,2016-06-20 11:20:13,2016-06-20 11:37:49,1,-73.77405548095702,41.157371520996094,-73.70561981201173,41.07108688354492,N,13.3109,53.09467541784249,47.15821481541815,45.37806818181818,1056,True
id3271974,1,2016-01-27 09:24:36,2016-01-27 10:04:33,1,-73.7821273803711,40.644546508789055,-73.40513610839844,40.777923583984375,N,47.314800000000005,20.387947480878328,51.26045342956645,71.06102628285358,2397,True
id2172310,2,2016-06-08 17:25:27,2016-06-08 18:44:37,1,-73.87287139892578,40.77406692504882,-73.7254638671875,41.19739532470703,N,63.2453,13.142280045155015,58.77059709193225,47.93328,4750,True
id3759923,2,2016-03-11 14:51:43,2016-03-11 17:37:55,1,-73.79005432128906,40.64680099487305,-74.60243225097656,40.3388671875,N,60.1569,19.672466652997844,65.40884565263563,21.717292418772562,9972,True
id2769862,1,2016-02-06 15:43:15,2016-02-06 15:50:12,1,-77.89601898193358,37.77777099609375,-77.89601898193358,37.77777099609375,N,0.0,467.8190948119442,467.8190948119442,0.0,417,True
id2700643,2,2016-06-01 14:45:27,2016-06-01 15:00:33,2,-73.35372924804686,40.32448959350586,-73.35372924804686,40.32448959350586,N,0.0,70.10509894723545,70.10509894723545,0.0,906,True
id0594373,1,2016-04-07 00:54:10,2016-04-07 01:44:23,1,-73.98796844482422,40.75963973999024,-73.56462097167967,41.10778045654297,N,67.45089999999999,5.419914337296395,57.50447845420296,80.59184865582475,3013,True
id3333018,2,2016-06-22 11:40:46,2016-06-22 11:48:27,6,-73.67906951904298,40.21383666992188,-73.98236083984375,40.7671127319336,N,46.0741,61.957547358712624,6.353277834662624,359.79774403470714,461,True
id3462546,2,2016-02-13 00:10:59,2016-02-13 01:05:59,1,-73.77674865722656,40.645118713378906,-73.20551300048828,40.84806060791016,N,70.72139999999999,20.787638199358163,69.22119232354031,77.15061818181817,3300,True
id2108994,1,2016-05-19 11:29:19,2016-05-19 12:38:19,1,-73.78879547119139,40.64227294921875,-73.68467712402342,41.20159530639648,N,74.0005,19.963696815606987,60.64946467187806,64.34826086956522,4140,True
id1703300,2,2016-04-26 16:46:00,2016-04-26 16:47:00,1,-77.03943634033203,38.89884948730469,-77.03943634033203,38.89884948730469,N,0.0,328.66382397738164,328.66382397738164,0.0,60,True
id2298947,2,2016-04-14 15:53:00,2016-04-14 15:54:00,1,-77.03943634033203,38.89884948730469,-77.03943634033203,38.89884948730469,N,0.0,328.66382397738164,328.66382397738164,0.0,60,True
id3765151,1,2016-04-09 12:20:12,2016-04-09 13:28:22,1,-73.99214172363281,40.75185012817384,-74.64753723144531,40.29328918457031,N,46.3475,4.491706210673393,71.60405234587486,40.79486552567237,4090,True
id2132644,2,2016-02-03 08:35:17,2016-02-03 10:20:33,2,-73.95984649658203,40.78238296508789,-74.77542877197266,40.36453628540039,N,54.0949,8.654599275013615,75.79347056551028,30.83306523115896,6316,True
id1132328,1,2016-03-11 23:21:36,2016-03-12 00:06:19,1,-73.86971282958984,40.7713737487793,-73.53496551513672,41.05530548095703,N,65.5029,13.22176890841733,54.97989373794398,87.89058516585911,2683,True
id0978162,1,2016-02-24 16:20:59,2016-02-24 16:35:34,4,-75.35433197021484,34.71223449707031,-73.83492279052734,32.1811408996582,N,0.3609,676.5117350620541,946.864168156446,1.4848457142857143,875,True
id2778014,2,2016-01-17 16:43:09,2016-01-17 16:50:16,1,-73.99708557128906,40.72892379760742,-72.67115020751953,40.614219665527344,N,135.75979999999998,1.9424840015807896,113.40551847008042,1144.5791100702575,427,True
id1194478,1,2016-05-18 06:42:50,2016-05-18 07:28:06,1,-73.99351501464844,40.7501106262207,-74.7113265991211,40.64425659179688,N,41.9275,4.275425003346784,60.11383582142785,55.5740058910162,2716,True
