id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration,distance_osrm,pickup_dist_NYC_center,dropoff_dist_NYC_center,speed_osrm
id3917283,2,2016-06-06 16:39:09,2016-06-07 16:30:50,0,-73.7763671875,40.64524841308594,-73.77635955810547,40.64525985717773,N,85901,0.001,20.81249693558776,20.812639040842623,4.190870886252779e-05
id3645383,2,2016-01-01 05:01:32,2016-01-01 05:01:36,0,-73.99313354492188,40.75747299194336,-73.99329376220702,40.75753784179688,N,4,0.0004,5.0785407797743,5.082700474451188,0.36000000000000004
id2840829,2,2016-02-21 01:33:52,2016-02-21 01:36:27,0,-73.94624328613281,40.772903442382805,-73.94676971435547,40.77484130859375,N,155,0.3133999999999999,8.367882392139622,8.514273769341479,7.278967741935482
id3762593,1,2016-01-04 12:24:17,2016-01-04 13:01:48,0,-73.81522369384764,40.70008087158203,-73.95069885253906,40.75522232055664,N,2251,17.3312,16.183753125265845,6.634398197445726,27.7176010661928
id2154895,1,2016-05-23 23:37:37,2016-05-23 23:37:45,0,-73.86163330078125,40.70502853393555,-73.86163330078125,40.70502853393555,N,8,0.0,12.230083631887904,12.230083631887904,0.0
id0796773,1,2016-02-07 17:23:48,2016-02-07 17:23:57,0,-73.95494079589844,40.6878662109375,-73.95474243164062,40.68786239624024,N,9,0.7856000000000001,5.127193451437439,5.141539649754115,314.24
id2091096,2,2016-01-01 23:52:46,2016-01-02 00:27:18,0,-73.99365234375,40.75704574584961,-73.91886901855469,40.75779342651367,N,2072,8.495899999999999,5.022922947093377,8.895769228102754,14.761216216216214
id0414625,2,2016-01-05 18:52:20,2016-01-05 18:52:35,0,-73.98529052734375,40.73833465576172,-73.9853515625,40.73836135864258,N,15,0.0001,3.331916386692431,3.3317374441937755,0.024
id0271506,2,2016-05-22 00:23:15,2016-05-22 00:23:56,0,-73.95671844482422,40.77714157104492,-73.95676422119139,40.776958465576165,N,41,0.1749,8.268997152546103,8.249486830722491,15.357073170731706
id3176865,2,2016-05-31 05:10:23,2016-05-31 05:10:38,0,-73.9824676513672,40.72797393798828,-73.9824676513672,40.72800064086913,N,15,0.5707000000000001,2.6062379581855923,2.6081558405797467,136.96800000000002
id3493269,2,2016-01-14 19:09:41,2016-01-14 19:09:48,0,-73.90470886230467,40.75809860229492,-73.90471649169923,40.758148193359375,N,7,0.0054,9.925313651049182,9.927547738623986,2.7771428571428576
id2247129,2,2016-01-13 11:50:12,2016-01-13 12:16:08,0,-73.96502685546875,40.7752685546875,-73.97344970703125,40.84061813354492,N,1556,12.4325,7.752326036794501,14.457682972188708,28.764138817480717
